Tanggal,Pricebuy
2022-01-01,833000
2022-01-02,833000
2022-01-03,833000
2022-01-04,833000
2022-01-05,833000
2022-01-06,833000
2022-01-07,833000
2022-01-08,833000
2022-01-09,833000
2022-01-10,833000
2022-01-11,833000
2022-01-12,833000
2022-01-13,833000
2022-01-14,833000
2022-01-15,833000
2022-01-16,833000
2022-01-17,836000
2022-01-18,836000
2022-01-19,836000
2022-01-20,836000
2022-01-21,848000
2022-01-22,848000
2022-01-23,847000
2022-01-24,846000
2022-01-25,846000
2022-01-26,853000
2022-01-27,841000
2022-01-28,841000
2022-01-29,841000
2022-01-30,830000
2022-01-31,829000
2022-02-01,829000
2022-02-02,833000
2022-02-03,834000
2022-02-04,834000
2022-02-05,836000
2022-02-06,836000
2022-02-07,838000
2022-02-08,838000
2022-02-09,845000
2022-02-10,845000
2022-02-11,845000
2022-02-12,845000
2022-02-13,845000
2022-02-14,857000
2022-02-15,861000
2022-02-16,861000
2022-02-17,857000
2022-02-18,857000
2022-02-19,857000
2022-02-20,874000
2022-02-21,878000
2022-02-22,878000
2022-02-23,878000
2022-02-24,881000
2022-02-25,881000
2022-02-26,881000
2022-02-27,881000
2022-02-28,883000
2022-03-01,882000
2022-03-02,892000
2022-03-03,892000
2022-03-04,892000
2022-03-05,892000
2022-03-06,912000
2022-03-07,920000
2022-03-08,926000
2022-03-09,943000
2022-03-10,943000
2022-03-11,917000
2022-03-12,916000
2022-03-13,916000
2022-03-14,908000
2022-03-15,900000
2022-03-16,886000
2022-03-17,888000
2022-03-18,894000
2022-03-19,887000
2022-03-20,887000
2022-03-21,886000
2022-03-22,892000
2022-03-23,887000
2022-03-24,898000
2022-03-25,904000
2022-03-26,903000
2022-03-27,903000
2022-03-28,903000
2022-03-29,889000
2022-03-30,889000
2022-03-31,891000
2022-04-01,893000
2022-04-02,889000
2022-04-03,889000
2022-04-04,889000
2022-04-05,892000
2022-04-06,887000
2022-04-07,889000
2022-04-08,893000
2022-04-09,899000
2022-04-10,899000
2022-04-11,898000
2022-04-12,902000
2022-04-13,907000
2022-04-14,911000
2022-04-15,911000
2022-04-16,911000
2022-04-17,910000
2022-04-18,915000
2022-04-19,912000
2022-04-20,899000
2022-04-21,902000
2022-04-22,901000
2022-04-23,893000
2022-04-24,893000
2022-04-25,892000
2022-04-26,886000
2022-04-27,885000
2022-04-28,876000
2022-04-29,876000
2022-04-30,876000
2022-05-01,876000
2022-05-02,876000
2022-05-03,876000
2022-05-04,876000
2022-05-05,876000
2022-05-06,876000
2022-05-07,876000
2022-05-08,876000
2022-05-09,876000
2022-05-10,866000
2022-05-11,858000
2022-05-12,867000
2022-05-13,855000
2022-05-14,852000
2022-05-15,852000
2022-05-16,852000
2022-05-17,858000
2022-05-18,855000
2022-05-19,857000
2022-05-20,870000
2022-05-21,870000
2022-05-22,870000
2022-05-23,870000
2022-05-24,873000
2022-05-25,878000
2022-05-26,872000
2022-05-27,872000
2022-05-28,869000
2022-05-29,869000
2022-05-30,868000
2022-05-31,866000
2022-06-01,861000
2022-06-02,865000
2022-06-03,872000
2022-06-04,859000
2022-06-05,859000
2022-06-06,859000
2022-06-07,855000
2022-06-08,860000
2022-06-09,861000
2022-06-10,863000
2022-06-11,876000
2022-06-12,876000
2022-06-13,878000
2022-06-14,860000
2022-06-15,858000
2022-06-16,870000
2022-06-17,875000
2022-06-18,875000
2022-06-19,875000
2022-06-20,876000
2022-06-21,876000
2022-06-22,871000
2022-06-23,877000
2022-06-24,870000
2022-06-25,870000
2022-06-26,870000
2022-06-27,873000
2022-06-28,866000
2022-06-29,867000
2022-06-30,867000
2022-07-01,864000
2022-07-02,871000
2022-07-03,871000
2022-07-04,869000
2022-07-05,869000
2022-07-06,853000
2022-07-07,840000
2022-07-08,839000
2022-07-09,840000
2022-07-10,840000
2022-07-11,840000
2022-07-12,836000
2022-07-13,833000
2022-07-14,834000
2022-07-15,826000
2022-07-16,825000
2022-07-17,825000
2022-07-18,825000
2022-07-19,823000
2022-07-20,825000
2022-07-21,825000
2022-07-22,826000
2022-07-23,831000
2022-07-24,831000
2022-07-25,830000
2022-07-26,829000
2022-07-27,829000
2022-07-28,840000
2022-07-29,843000
2022-07-30,843000
2022-07-31,843000
2022-08-01,842000
2022-08-02,847000
2022-08-03,841000
2022-08-04,847000
2022-08-05,861000
2022-08-06,852000
2022-08-07,852000
2022-08-08,850000
2022-08-09,859000
2022-08-10,858000
2022-08-11,858000
2022-08-12,853000
2022-08-13,853000
2022-08-14,853000
2022-08-15,851000
2022-08-16,843000
2022-08-17,843000
2022-08-18,839000
2022-08-19,839000
2022-08-20,837000
2022-08-21,837000
2022-08-22,837000
2022-08-23,833000
2022-08-24,837000
2022-08-25,837000
2022-08-26,837000
2022-08-27,829000
2022-08-28,829000
2022-08-29,827000
2022-08-30,833000
2022-08-31,825000
2022-09-01,817000
2022-09-02,815000
2022-09-03,815000
2022-09-04,820000
2022-09-05,819000
2022-09-06,826000
2022-09-07,817000
2022-09-08,823000
2022-09-09,820000
2022-09-10,820000
2022-09-11,820000
2022-09-12,820000
2022-09-13,823000
2022-09-14,814000
