Tanggal,Pricebuy
2014-01-15,469000
2014-02-15,468000
2014-03-15,492000
2014-04-15,478000
2014-05-15,469000
2014-06-15,473000
2014-07-15,478000
2014-08-15,479000
2014-09-15,469000
2014-10-15,474000
2014-11-15,454000
2014-12-15,482000
2015-01-15,487000
2015-02-15,474000
2015-03-15,485000
2015-04-15,487000
2015-05-15,499000
2015-06-15,497000
2015-07-15,491000
2015-08-15,475000
2015-09-15,499000
2015-10-15,510000
2015-11-15,472000
2015-12-15,479000
2016-01-15,480000
2016-02-15,510000
2016-03-15,510000
2016-04-15,519000
2016-05-15,532000
2016-06-15,543000
2016-07-15,551000
2016-08-15,557000
2016-09-15,553000
2016-10-15,525000
2016-11-15,524000
2016-12-15,487000
2017-01-15,511000
2017-02-15,525000
2017-03-15,514000
2017-04-15,540000
2017-05-15,521000
2017-06-15,536000
2017-07-15,522000
2017-08-15,535000
2017-09-15,552000
2017-10-15,561000
2017-11-15,556000
2017-12-15,549000
2018-01-15,567000
2018-02-15,561000
2018-03-15,575000
2018-04-15,585000
2018-05-15,585000
2018-06-15,575000
2018-07-15,575000
2018-08-15,560000
2018-09-15,571000
2018-10-15,595000
2018-11-15,573000
2018-12-15,562000
2019-01-15,581000
2019-02-15,595000
2019-03-15,592000
2019-04-15,587000
2019-05-15,592000
2019-06-15,610000
2019-07-15,635000
2019-08-15,687000
2019-09-15,668000
2019-10-15,676000
2019-11-15,665500
2019-12-15,663000
2020-01-15,679000
2020-02-15,676000
2020-03-15,730000
2020-04-15,840000
2020-05-15,823000
2020-06-15,793000
2020-07-15,841000
2020-08-15,927000
2020-09-15,940000
2020-10-15,897000
2020-11-15,864000
2020-12-15,831000
2021-01-15,838000
2021-02-15,897000
2021-03-15,796000
2021-04-15,817000
2021-05-15,837000
2021-06-15,853000
2021-07-15,850000
2021-08-15,822000
2021-09-15,832000
2021-10-15,832000
2021-11-15,832000
2021-12-15,832000
2022-01-15,833000
2022-02-15,832000
2022-03-15,900000
2022-04-15,911000
2022-05-15,852000
2022-06-15,858000
2022-07-15,826000
2022-08-15,851000
2022-09-15,814000
2022-10-15,817000
2022-11-15,875000
2022-12-15,913000
