Tanggal,Price1
2014-01-15,530000 
2014-02-15,528000 
2014-03-15,552000
2014-04-15,538000
2014-05-15,529000 
2014-06-15,533000 
2014-07-15,533000 
2014-08-15,536000
2014-09-15,527000 
2014-10-15,525000 
2014-11-15,519000 
2014-12-15,532000 
2015-01-15,541000 
2015-02-15,525000 
2015-03-15,543000
2015-04-15,547000 
2015-05-15,559000 
2015-06-15,553000 
2015-07-15,550000
2015-08-15,547000
2015-09-15,559000 
2015-10-15,568000 
2015-11-15,549000 
2015-12-15,547000 
2016-01-15,543000 
2016-02-15,568000 
2016-03-15,560000 
2016-04-15,565000 
2016-05-15,585000 
2016-06-15,594000 
2016-07-15,601000 
2016-08-15,607000 
2016-09-15,605000 
2016-10-15,599000 
2016-11-15,593000 
2016-12-15,583000 
2017-01-15,588000 
2017-02-15,599000 
2017-03-15,577000 
2017-04-15,598000
2017-05-15,579000 
2017-06-15,590000 
2017-07-15,586000 
2017-08-15,599000 
2017-09-15,614000 
2017-10-15,630625 
2017-11-15,623562 
2017-12-15,617000 
2018-01-15,635000 
2018-02-15,630625 
2018-03-15,644000
2018-04-15,654000 
2018-05-15,654000 
2018-06-15,652000 
2018-07-15,645000 
2018-08-15,649000
2018-09-15,664000 
2018-10-15,681000 
2018-11-15,665000 
2018-12-15,655000 
2019-01-15,660000
2019-02-15,681000 
2019-03-15,666000 
2019-04-15,660000 
2019-05-15,669000
2019-06-15,681000 
2019-07-15,706000
2019-08-15,759000 
2019-09-15,745000 
2019-10-15,756000 
2019-11-15,748000
2019-12-15,750000
2020-01-15,767000
2020-02-15,756000 
2020-03-15,809000
2020-04-15,943000 
2020-05-15,917000 
2020-06-15,902000 
2020-07-15,942000 
2020-08-15,1035000 
2020-09-15,1037000 
2020-10-15,1009000 
2020-11-15,985000
2020-12-15,951000 
2021-01-15,956000 
2021-02-15,1009000 
2021-03-15,924000 
2021-04-15,925000 
2021-05-15,933000 
2021-06-15,943000 
2021-07-15,953000 
2021-08-15,942000 
2021-09-15,939000 
2021-10-15,939000 
2021-11-15,939000 
2021-12-15,939000 
2022-01-15,938000 
2022-02-15,939000 
2022-03-15,994000 
2022-04-15,1006000 
2022-05-15,967000 
2022-06-15,984000 
2022-07-15,962000 
2022-08-15,988000 
2022-09-15,942000 
2022-10-15,935000 
2022-11-15,973000 
2022-12-15,1013000
