Tanggal,Harga
2014-01-15,12325000 
2014-02-15,12275000 
2014-03-15,12875000
2014-04-15,12525000
2014-05-15,12300000 
2014-06-15,12400000 
2014-07-15,12400000 
2014-08-15,12475000
2014-09-15,12250000 
2014-10-15,12200000 
2014-11-15,12050000 
2014-12-15,12375000 
2015-01-15,12600000 
2015-02-15,12200000 
2015-03-15,12650000
2015-04-15,12750000 
2015-05-15,13050000 
2015-06-15,12900000 
2015-07-15,12825000
2015-08-15,12750000
2015-09-15,13050000 
2015-10-15,13275000 
2015-11-15,12800000 
2015-12-15,12750000 
2016-01-15,12650000 
2016-02-15,13275000 
2016-03-15,13075000 
2016-04-15,13200000 
2016-05-15,13700000 
2016-06-15,13925000 
2016-07-15,14100000 
2016-08-15,14250000 
2016-09-15,14200000 
2016-10-15,14050000 
2016-11-15,13900000 
2016-12-15,13650000 
2017-01-15,13775000 
2017-02-15,14050000 
2017-03-15,13500000 
2017-04-15,14025000
2017-05-15,13550000 
2017-06-15,13825000 
2017-07-15,13725000 
2017-08-15,14050000 
2017-09-15,14425000 
2017-10-15,14832300 
2017-11-15,14655725 
2017-12-15,14504000 
2018-01-15,14958000 
2018-02-15,14832300 
2018-03-15,15185000
2018-04-15,15437000 
2018-05-15,15437000 
2018-06-15,15387000 
2018-07-15,15210000 
2018-08-15,15020500
2018-09-15,15323500 
2018-10-15,15727500 
2018-11-15,15348500 
2018-12-15,15205000 
2019-01-15,15330000
2019-02-15,15727500 
2019-03-15,15480000 
2019-04-15,15330000 
2019-05-15,15555000
2019-06-15,15855000 
2019-07-15,16480000
2019-08-15,17805000 
2019-09-15,17455000 
2019-10-15,17730000 
2019-11-15,17530000
2019-12-15,17580000
2020-01-15,18005000
2020-02-15,17730000 
2020-03-15,19055000
2020-04-15,22405000 
2020-05-15,21755000 
2020-06-15,21162000 
2020-07-15,22162000 
2020-08-15,24487000 
2020-09-15,24537000 
2020-10-15,23837000 
2020-11-15,23237000
2020-12-15,22387000 
2021-01-15,22512000 
2021-02-15,23837000 
2021-03-15,21712000 
2021-04-15,21737000 
2021-05-15,21937000 
2021-06-15,22187000 
2021-07-15,22437000 
2021-08-15,22162000 
2021-09-15,22087000 
2021-10-15,22087000 
2021-11-15,22087000 
2021-12-15,22087000 
2022-01-15,551550000 
2022-02-15,22087000 
2022-03-15,586550000 
2022-04-15,594050000 
2022-05-15,569675000 
2022-06-15,582750000 
2022-07-15,566550000 
2022-08-15,582800000 
2022-09-15,554050000 
2022-10-15,21987000 
2022-11-15,22937000 
2022-12-15,23937000
