Tanggal,Price100,Price50,Price25,Price10,Price5,Price3,Price2,Price1
2014-01-01,48550000,24300000,12175000,4900000,2475000,1494000,1008000,524000
2014-01-02,49150000,24600000,12325000,4960000,2505000,1512000,1020000,530000
2014-01-03,49350000,24700000,12375000,4980000,2515000,1518000,1024000,532000
2014-01-04,49350000,24700000,12375000,4980000,2515000,1518000,1024000,532000
2014-01-05,49350000,24700000,12375000,4980000,2515000,1518000,1024000,532000
2014-01-06,49650000,24850000,12450000,5010000,2530000,1527000,1030000,535000
2014-01-07,49350000,24700000,12375000,4980000,2515000,1518000,1024000,532000
2014-01-08,49250000,24650000,12350000,4970000,2510000,1515000,1022000,531000
2014-01-09,49150000,24600000,12325000,4960000,2505000,1512000,1020000,530000
2014-01-10,49150000,24600000,12325000,4960000,2505000,1512000,1020000,530000
2014-01-11,49150000,24600000,12325000,4960000,2505000,1512000,1020000,530000
2014-01-12,49150000,24600000,12325000,4960000,2505000,1512000,1020000,530000
2014-01-13,49650000,24850000,12450000,5010000,2530000,1527000,1030000,535000
2014-01-14,49650000,24850000,12450000,5010000,2530000,1527000,1030000,535000
2014-01-15,49150000,24600000,12325000,4960000,2505000,1512000,1020000,530000
2014-01-16,49150000,24600000,12325000,4960000,2505000,1512000,1020000,530000
2014-01-17,49150000,24600000,12325000,4960000,2505000,1512000,1020000,530000
2014-01-18,49150000,24600000,12325000,4960000,2505000,1512000,1020000,530000
2014-01-19,49150000,24600000,12325000,4960000,2505000,1512000,1020000,530000
2014-01-20,49650000,24850000,12450000,5010000,2530000,1527000,1030000,535000
2014-01-21,49650000,24850000,12450000,5010000,2530000,1527000,1030000,535000
2014-01-22,49450000,24750000,12400000,4990000,2520000,1521000,1026000,533000
2014-01-23,49350000,24700000,12375000,4980000,2515000,1518000,1024000,532000
2014-01-24,50150000,25100000,12575000,5060000,2555000,1542000,1040000,540000
2014-01-25,50150000,25100000,12575000,5060000,2555000,1542000,1040000,540000
2014-01-26,50150000,25100000,12575000,5060000,2555000,1542000,1040000,540000
2014-01-27,50650000,25350000,12700000,5110000,2580000,1557000,1050000,545000
2014-01-28,50050000,25050000,12550000,5050000,2550000,1539000,1038000,539000
2014-01-29,49950000,25000000,12525000,5040000,2545000,1536000,1036000,538000
2014-01-30,50050000,25050000,12550000,5050000,2550000,1539000,1038000,539000
2014-01-31,50050000,25050000,12550000,5050000,2550000,1539000,1038000,539000
2014-02-01,50050000,25050000,12550000,5050000,2550000,1539000,1038000,539000
2014-02-02,50050000,25050000,12550000,5050000,2550000,1539000,1038000,539000
2014-02-03,49350000,24700000,12375000,4980000,2515000,1518000,1024000,532000
2014-02-04,50150000,25100000,12575000,5060000,2555000,1542000,1040000,540000
2014-02-05,49950000,25000000,12525000,5040000,2545000,1536000,1036000,538000
2014-02-06,49850000,24950000,12500000,5030000,2540000,1533000,1034000,537000
2014-02-07,49850000,24950000,12500000,5030000,2540000,1533000,1034000,537000
2014-02-08,49850000,24950000,12500000,5030000,2540000,1533000,1034000,537000
2014-02-09,49850000,24950000,12500000,5030000,2540000,1533000,1034000,537000
2014-02-10,50250000,25150000,12600000,5070000,2560000,1545000,1042000,541000
2014-02-11,50550000,25300000,12675000,5100000,2575000,1554000,1048000,544000
2014-02-12,50850000,25450000,12750000,5130000,2590000,1563000,1054000,547000
2014-02-13,50850000,25450000,12750000,5130000,2590000,1563000,1054000,547000
2014-02-14,51150000,25600000,12825000,5160000,2605000,1572000,1060000,550000
2014-02-15,51150000,25600000,12825000,5160000,2605000,1572000,1060000,550000
2014-02-16,51150000,25600000,12825000,5160000,2605000,1572000,1060000,550000
2014-02-17,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-02-18,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-02-19,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-02-20,51050000,25550000,12800000,5150000,2600000,1569000,1058000,549000
2014-02-21,51050000,25550000,12800000,5150000,2600000,1569000,1058000,549000
2014-02-22,51050000,25550000,12800000,5150000,2600000,1569000,1058000,549000
2014-02-23,51050000,25550000,12800000,5150000,2600000,1569000,1058000,549000
2014-02-24,51050000,25550000,12800000,5150000,2600000,1569000,1058000,549000
2014-02-25,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-02-26,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-02-27,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-02-28,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-03-01,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-03-02,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-03-03,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-03-04,51450000,25750000,12900000,5190000,2620000,1581000,1066000,553000
2014-03-05,51350000,25700000,12875000,5180000,2615000,1578000,1064000,552000
2014-03-06,50950000,25500000,12775000,5140000,2595000,1566000,1056000,548000
2014-03-07,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-03-08,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-03-09,51250000,25650000,12850000,5170000,2610000,1575000,1062000,551000
2014-03-10,50650000,25350000,12700000,5110000,2580000,1557000,1050000,545000
2014-03-11,50850000,25450000,12750000,5130000,2590000,1563000,1054000,547000
2014-03-12,50850000,25450000,12750000,5130000,2590000,1563000,1054000,547000
