Tanggal,Price100,Price50,Price25,Price10,Price5,Price3,Price2,Price1
2022-01-01,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-02,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-03,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-04,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-05,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-06,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-07,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-08,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-09,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-10,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-11,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-12,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-13,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-14,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-15,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-16,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-17,8791200000,2199750000,550925000,88650000,22300000,8088000,3628000,937000
2022-01-18,8791200000,2199750000,550925000,88650000,22300000,8088000,3628000,937000
2022-01-19,8791200000,2199750000,550925000,88650000,22300000,8088000,3628000,937000
2022-01-20,8791200000,2199750000,550925000,88650000,22300000,8088000,3628000,937000
2022-01-21,8891200000,2224750000,557175000,89650000,22550000,8178000,3668000,947000
2022-01-22,8891200000,2224750000,557175000,89650000,22550000,8178000,3668000,947000
2022-01-23,8871200000,2219750000,555925000,89450000,22500000,8160000,3660000,945000
2022-01-24,8861200000,2217250000,555300000,89350000,22475000,8151000,3656000,944000
2022-01-25,8861200000,2217250000,555300000,89350000,22475000,8151000,3656000,944000
2022-01-26,8921200000,2232250000,559050000,89950000,22625000,8205000,3680000,950000
2022-01-27,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-28,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-29,8801200000,2202250000,551550000,88750000,22325000,8097000,3632000,938000
2022-01-30,8701200000,2177250000,545300000,87750000,22075000,8007000,3592000,928000
2022-01-31,8691200000,2174750000,544675000,87650000,22050000,7998000,3588000,927000
2022-02-01,128012000,64045000,32062000,12875000,6465000,3899001,2616000,1338000
2022-02-02,128012000,64045000,32062000,12875000,6465000,3899001,2616000,1338000
2022-02-03,128012000,64045000,32062000,12875000,6465000,3899001,2616000,1338000
2022-02-04,128012000,64045000,32062000,12875000,6465000,3899001,2616000,1338000
2022-02-05,128012000,64045000,32062000,12875000,6465000,3899001,2616000,1338000
2022-02-06,128012000,64045000,32062000,12875000,6465000,3899001,2616000,1338000
2022-02-07,128012000,64045000,32062000,12875000,6465000,3899001,2616000,1338000
2022-02-08,128012000,64045000,32062000,12875000,6465000,3899001,2616000,1338000
2022-02-09,128012000,64045000,32062000,12875000,6465000,3899001,2616000,1338000
2022-02-10,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-11,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-12,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-13,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-14,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-15,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-16,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-17,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-18,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-19,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-20,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-21,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-22,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-23,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-24,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-25,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-26,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-27,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-02-28,88112000,44095000,22087000,8885000,4470000,2702001,1818000,939000
2022-03-01,9191200000,2299750000,575925000,92650000,23300000,8448000,3788000,977000
2022-03-02,9291200000,2324750000,582175000,93650000,23550000,8538000,3828000,987000
2022-03-03,9291200000,2324750000,582175000,93650000,23550000,8538000,3828000,987000
2022-03-04,9291200000,2324750000,582175000,93650000,23550000,8538000,3828000,987000
2022-03-05,9291200000,2324750000,582175000,93650000,23550000,8538000,3828000,987000
2022-03-06,9471200000,2369750000,593425000,95450000,24000000,8700000,3900000,1005000
2022-03-07,9551200000,2389750000,598425000,96250000,24200000,8772000,3932000,1013000
2022-03-08,9611200000,2404750000,602175000,96850000,24350000,8826000,3956000,1019000
2022-03-09,9781200000,2447250000,612800000,98550000,24775000,8979000,4024000,1036000
2022-03-10,9781200000,2447250000,612800000,98550000,24775000,8979000,4024000,1036000
2022-03-11,9521200000,2382250000,596550000,95950000,24125000,8745000,3920000,1010000
2022-03-12,9511200000,1191850000,595925000,95850000,24100000,8736000,3916000,1009000
2022-03-13,9511200000,1191850000,595925000,95850000,24100000,8736000,3916000,1009000
2022-03-14,9431200000,2359750000,590925000,95050000,23900000,8664000,3884000,1001000
